Transaction ID,Date(YYYY-MM-DD),User ID,Book Title,Genre,Borrowing Duration(Days)
T00001,2024-05-22,U4487,It Ends With Us,Thriller,10
T00002,2025-01-30,U9490,Harry Potter and the Sorcerer's Stone,Romance,7
T00003,2024-11-10,U7818,The Da Vinci Code,Classics,18
T00004,2025-02-11,U8520,A Court of Thorns and Roses,Romance,9
T00005,2024-06-16,U7695,Where the Crawdads Sing,Science Fiction,16
T00006,2024-06-15,U4982,The Great Gatsby,Historical Fiction,23
T00007,2024-09-07,U2204,The Hobbit,Fantasy,27
T00008,2024-11-30,U8830,Pride and Prejudice,Historical Fiction,13
T00009,2025-03-10,U6306,The Silent Patient,Science Fiction,18
T00010,2024-10-08,U5567,A Court of Thorns and Roses,Classics,14
T00011,2024-11-27,U9565,A Court of Thorns and Roses,Science Fiction,10
T00012,2024-09-28,U1509,The Silent Patient,Fantasy,28
T00013,2024-05-23,U6522,The Silent Patient,Romance,17
T00014,2024-12-12,U5078,It Ends With Us,Thriller,28
T00015,2024-07-28,U6435,The Midnight Library,Mystery,22
T00016,2025-04-28,U2018,The Alchemist,Mystery,12
T00017,2025-03-10,U7083,The Midnight Library,Fantasy,28
T00018,2024-06-17,U4226,Harry Potter and the Sorcerer's Stone,Classics,14
T00019,2024-12-25,U9558,The Silent Patient,Classics,8
T00020,2024-05-23,U6928,A Court of Thorns and Roses,Mystery,16
T00021,2024-06-20,U8678,The Great Gatsby,Science Fiction,17
T00022,2024-11-06,U1445,Ugly Love,Fantasy,13
T00023,2024-11-01,U4419,Angels & Demons,Mystery,15
T00024,2024-06-02,U3876,The Seven Husbands of Evelyn Hugo,Historical Fiction,11
T00025,2024-08-06,U9348,The Song of Achilles,Thriller,21
T00026,2025-02-01,U4181,Pride and Prejudice,Science Fiction,16
T00027,2025-01-27,U7319,The Seven Husbands of Evelyn Hugo,Classics,15
T00028,2024-10-01,U9531,Where the Crawdads Sing,Science Fiction,30
T00029,2025-04-28,U1836,Ugly Love,Science Fiction,16
T00030,2025-01-10,U5692,Verity,Science Fiction,27
T00031,2025-04-16,U9574,To Kill a Mockingbird,Historical Fiction,12
T00032,2024-06-02,U1866,Pride and Prejudice,Classics,24
T00033,2024-08-07,U9593,Where the Crawdads Sing,Historical Fiction,14
T00034,2024-05-14,U4313,To Kill a Mockingbird,Mystery,12
T00035,2024-05-22,U6685,The Seven Husbands of Evelyn Hugo,Mystery,22
T00036,2024-12-29,U8473,The Catcher in the Rye,Mystery,18
T00037,2024-05-21,U2286,The Seven Husbands of Evelyn Hugo,Thriller,18
T00038,2025-02-20,U3519,Where the Crawdads Sing,Historical Fiction,8
T00039,2024-09-14,U3649,Harry Potter and the Sorcerer's Stone,Romance,22
T00040,2024-10-14,U6083,Angels & Demons,Romance,28
T00041,2024-05-20,U6350,The Midnight Library,Fantasy,11
T00042,2024-12-09,U3931,It Ends With Us,Thriller,22
T00043,2024-08-31,U7117,The Midnight Library,Classics,19
T00044,2024-12-02,U6623,Harry Potter and the Sorcerer's Stone,Fantasy,23
T00045,2024-07-23,U7856,Harry Potter and the Sorcerer's Stone,Mystery,13
T00046,2025-05-06,U6358,Angels & Demons,Historical Fiction,27
T00047,2024-09-22,U2202,The Midnight Library,Mystery,15
T00048,2025-03-01,U1661,The Seven Husbands of Evelyn Hugo,Thriller,16
T00049,2024-05-20,U7548,1984,Romance,29
T00050,2025-03-08,U5389,Where the Crawdads Sing,Classics,21
T00051,2025-05-03,U3329,The Seven Husbands of Evelyn Hugo,Thriller,15
T00052,2024-06-28,U9569,The Alchemist,Classics,10
T00053,2024-11-24,U7074,Pride and Prejudice,Mystery,8
T00054,2024-08-16,U1399,The Hobbit,Fantasy,19
T00055,2024-07-27,U6538,The Hobbit,Science Fiction,20
T00056,2025-01-21,U9552,It Ends With Us,Mystery,30
T00057,2024-06-29,U1905,The Song of Achilles,Romance,14
T00058,2024-06-11,U1505,The Catcher in the Rye,Classics,27
T00059,2024-10-13,U5694,The Da Vinci Code,Mystery,7
T00060,2025-02-17,U5857,A Court of Thorns and Roses,Fantasy,28
T00061,2024-05-10,U8930,The Catcher in the Rye,Romance,18
T00062,2024-10-20,U8239,Angels & Demons,Fantasy,19
T00063,2024-06-14,U9797,The Da Vinci Code,Science Fiction,7
T00064,2024-07-27,U4387,The Silent Patient,Thriller,25
T00065,2025-02-13,U2579,Ugly Love,Historical Fiction,10
T00066,2025-01-04,U8420,It Ends With Us,Science Fiction,7
T00067,2024-10-20,U2955,Harry Potter and the Sorcerer's Stone,Romance,14
T00068,2024-10-18,U3229,Harry Potter and the Sorcerer's Stone,Romance,19
T00069,2025-04-13,U4358,To Kill a Mockingbird,Fantasy,28
T00070,2024-11-19,U6233,Angels & Demons,Fantasy,18
T00071,2025-04-03,U2960,The Great Gatsby,Thriller,11
T00072,2025-02-12,U8818,1984,Thriller,30
T00073,2025-04-15,U5165,A Court of Thorns and Roses,Romance,28
T00074,2024-12-11,U5392,Where the Crawdads Sing,Science Fiction,21
T00075,2025-01-29,U9098,The Silent Patient,Classics,17
T00076,2025-02-15,U3697,To Kill a Mockingbird,Classics,9
T00077,2025-05-04,U3067,Ugly Love,Historical Fiction,10
T00078,2024-10-19,U5603,The Seven Husbands of Evelyn Hugo,Romance,28
T00079,2024-10-19,U3016,1984,Mystery,9
T00080,2024-06-23,U2005,A Court of Thorns and Roses,Historical Fiction,14
T00081,2024-07-04,U1804,The Midnight Library,Fantasy,29
T00082,2025-04-05,U3791,Ugly Love,Historical Fiction,21
T00083,2024-11-10,U5103,Where the Crawdads Sing,Romance,19
T00084,2025-01-04,U5161,Where the Crawdads Sing,Thriller,9
T00085,2024-09-17,U3941,The Silent Patient,Thriller,14
T00086,2025-01-04,U9203,Where the Crawdads Sing,Mystery,22
T00087,2025-04-03,U9273,The Midnight Library,Thriller,7
T00088,2025-03-23,U7049,It Ends With Us,Historical Fiction,25
T00089,2025-01-23,U7029,Ugly Love,Romance,23
T00090,2024-05-07,U5330,The Catcher in the Rye,Thriller,26
T00091,2024-09-14,U8658,Harry Potter and the Sorcerer's Stone,Mystery,22
T00092,2025-01-20,U3053,It Ends With Us,Romance,30
T00093,2024-12-16,U6164,The Great Gatsby,Romance,11
T00094,2025-01-03,U2078,The Seven Husbands of Evelyn Hugo,Thriller,22
T00095,2025-03-23,U1116,The Da Vinci Code,Romance,23
T00096,2024-10-14,U8649,The Vanishing Half,Science Fiction,30
T00097,2024-10-31,U5102,The Catcher in the Rye,Thriller,15
T00098,2024-10-12,U8567,To Kill a Mockingbird,Romance,9
T00099,2024-05-12,U4284,To Kill a Mockingbird,Romance,20
T00100,2025-05-07,U4854,The Vanishing Half,Classics,26
T00101,2024-11-26,U7989,A Court of Thorns and Roses,Thriller,28
T00102,2024-09-16,U5073,It Ends With Us,Science Fiction,25
T00103,2025-03-11,U6414,The Catcher in the Rye,Romance,19
T00104,2024-06-10,U7294,The Midnight Library,Historical Fiction,11
T00105,2024-06-18,U1263,To Kill a Mockingbird,Classics,17
T00106,2025-04-03,U7227,The Catcher in the Rye,Classics,11
T00107,2025-02-12,U3122,To Kill a Mockingbird,Mystery,29
T00108,2024-12-10,U7694,Pride and Prejudice,Thriller,23
T00109,2025-01-21,U3393,The Song of Achilles,Classics,27
T00110,2024-12-22,U7430,Harry Potter and the Sorcerer's Stone,Classics,21
T00111,2025-02-03,U8957,To Kill a Mockingbird,Fantasy,16
T00112,2024-08-11,U7972,The Da Vinci Code,Fantasy,21
T00113,2024-08-18,U1824,Angels & Demons,Classics,15
T00114,2024-11-14,U8862,Where the Crawdads Sing,Fantasy,21
T00115,2025-02-05,U8417,The Da Vinci Code,Romance,18
T00116,2024-08-04,U8009,The Catcher in the Rye,Romance,10
T00117,2024-08-16,U8188,The Vanishing Half,Classics,30
T00118,2024-09-17,U1696,The Midnight Library,Fantasy,19
T00119,2025-03-25,U4488,The Midnight Library,Thriller,11
T00120,2024-09-27,U3637,The Da Vinci Code,Fantasy,23
T00121,2024-11-23,U4160,Verity,Mystery,9
T00122,2025-04-22,U8481,The Catcher in the Rye,Mystery,16
T00123,2025-04-14,U8893,The Midnight Library,Fantasy,16
T00124,2024-11-23,U1992,The Seven Husbands of Evelyn Hugo,Romance,30
T00125,2024-11-23,U3721,The Hobbit,Science Fiction,28
T00126,2025-04-01,U5444,Where the Crawdads Sing,Fantasy,8
T00127,2025-03-01,U7869,A Court of Thorns and Roses,Classics,19
T00128,2024-08-22,U2512,Pride and Prejudice,Romance,29
T00129,2024-07-19,U1375,The Hobbit,Romance,28
T00130,2024-12-27,U9703,Angels & Demons,Romance,10
T00131,2025-01-19,U4818,A Court of Thorns and Roses,Thriller,7
T00132,2024-09-29,U3217,The Vanishing Half,Science Fiction,23
T00133,2025-04-07,U2009,The Midnight Library,Classics,16
T00134,2024-09-17,U2439,Ugly Love,Science Fiction,29
T00135,2024-12-24,U1622,The Catcher in the Rye,Fantasy,22
T00136,2025-05-07,U4390,The Catcher in the Rye,Romance,13
T00137,2024-09-21,U4207,The Hobbit,Thriller,7
T00138,2024-06-08,U5285,Pride and Prejudice,Science Fiction,21
T00139,2024-06-21,U9269,A Court of Thorns and Roses,Mystery,17
T00140,2024-09-07,U6083,1984,Thriller,23
T00141,2025-03-22,U5285,Harry Potter and the Sorcerer's Stone,Classics,28
T00142,2025-04-15,U3065,The Vanishing Half,Romance,11
T00143,2025-04-15,U9629,Pride and Prejudice,Science Fiction,18
T00144,2025-05-06,U1045,The Catcher in the Rye,Mystery,15
T00145,2024-09-10,U7811,The Alchemist,Thriller,10
T00146,2025-04-09,U2355,1984,Romance,18
T00147,2024-10-31,U6189,1984,Historical Fiction,28
T00148,2024-08-31,U4256,A Court of Thorns and Roses,Mystery,28
T00149,2024-12-14,U1735,To Kill a Mockingbird,Fantasy,28
T00150,2024-11-21,U5284,Pride and Prejudice,Mystery,15
T00151,2025-02-11,U7084,A Court of Thorns and Roses,Classics,11
T00152,2025-03-15,U4239,1984,Historical Fiction,17
T00153,2024-12-13,U3248,The Song of Achilles,Historical Fiction,26
T00154,2024-08-10,U6458,Ugly Love,Romance,25
T00155,2024-07-20,U6397,The Midnight Library,Romance,7
T00156,2025-04-15,U9638,The Silent Patient,Thriller,24
T00157,2024-10-20,U4289,Verity,Romance,20
T00158,2024-08-09,U5204,The Song of Achilles,Science Fiction,14
T00159,2024-08-20,U8748,It Ends With Us,Classics,13
T00160,2025-01-12,U7873,The Song of Achilles,Science Fiction,30
T00161,2025-01-09,U8958,Angels & Demons,Historical Fiction,18
T00162,2024-07-04,U2403,Verity,Science Fiction,27
T00163,2025-02-20,U3175,The Hobbit,Classics,30
T00164,2025-03-25,U6661,1984,Romance,26
T00165,2024-12-02,U9956,The Song of Achilles,Science Fiction,19
T00166,2025-01-10,U1675,The Hobbit,Historical Fiction,23
T00167,2024-11-21,U2704,It Ends With Us,Historical Fiction,19
T00168,2024-10-10,U5312,The Catcher in the Rye,Fantasy,19
T00169,2024-06-11,U7434,A Court of Thorns and Roses,Mystery,27
T00170,2025-02-23,U2177,The Great Gatsby,Romance,13
T00171,2024-07-23,U7161,The Seven Husbands of Evelyn Hugo,Science Fiction,19
T00172,2024-11-27,U9326,The Midnight Library,Science Fiction,29
T00173,2024-09-16,U6978,The Silent Patient,Romance,24
T00174,2024-06-26,U2918,The Catcher in the Rye,Science Fiction,19
T00175,2024-06-12,U8414,Verity,Fantasy,25
T00176,2025-04-27,U1125,The Alchemist,Romance,10
T00177,2024-08-09,U5850,The Da Vinci Code,Thriller,13
T00178,2025-01-13,U5600,A Court of Thorns and Roses,Thriller,10
T00179,2025-03-15,U8347,The Vanishing Half,Historical Fiction,7
T00180,2025-02-09,U9198,Angels & Demons,Thriller,21
T00181,2024-06-29,U1332,The Alchemist,Thriller,10
T00182,2024-11-02,U7024,Angels & Demons,Historical Fiction,10
T00183,2024-10-22,U4858,Harry Potter and the Sorcerer's Stone,Historical Fiction,9
T00184,2024-07-16,U2398,The Silent Patient,Mystery,8
T00185,2024-10-01,U2644,Ugly Love,Historical Fiction,14
T00186,2024-09-18,U4470,Verity,Classics,27
T00187,2024-08-29,U7061,The Silent Patient,Romance,18
T00188,2024-10-13,U6526,To Kill a Mockingbird,Romance,20
T00189,2024-11-01,U6382,The Seven Husbands of Evelyn Hugo,Historical Fiction,14
T00190,2024-08-06,U1306,The Alchemist,Classics,23
T00191,2025-02-03,U9440,The Hobbit,Fantasy,30
T00192,2024-06-26,U2847,The Midnight Library,Romance,8
T00193,2024-09-01,U1155,The Hobbit,Romance,11
T00194,2024-12-16,U2908,The Vanishing Half,Thriller,9
T00195,2025-03-04,U9559,A Court of Thorns and Roses,Mystery,8
T00196,2024-10-24,U8076,The Song of Achilles,Classics,21
T00197,2025-02-15,U1673,The Alchemist,Thriller,20
T00198,2024-06-25,U9807,The Midnight Library,Science Fiction,21
T00199,2024-12-31,U8318,The Seven Husbands of Evelyn Hugo,Mystery,20
T00200,2024-08-19,U4662,Verity,Classics,12
T00201,2024-12-23,U2758,The Hobbit,Mystery,28
T00202,2024-06-23,U7461,Ugly Love,Mystery,18
T00203,2025-05-01,U8178,Angels & Demons,Thriller,30
T00204,2024-09-02,U4969,To Kill a Mockingbird,Mystery,11
T00205,2024-05-23,U4555,To Kill a Mockingbird,Classics,8
T00206,2024-09-28,U8788,Angels & Demons,Fantasy,23
T00207,2025-01-18,U5797,Pride and Prejudice,Science Fiction,21
T00208,2025-02-17,U1508,Where the Crawdads Sing,Science Fiction,19
T00209,2025-01-25,U5856,The Silent Patient,Romance,9
T00210,2024-08-02,U3446,The Hobbit,Romance,23
T00211,2024-12-31,U7295,It Ends With Us,Mystery,19
T00212,2025-04-12,U6337,To Kill a Mockingbird,Classics,20
T00213,2024-05-22,U4241,The Hobbit,Mystery,10
T00214,2025-03-06,U1659,The Seven Husbands of Evelyn Hugo,Science Fiction,28
T00215,2024-07-25,U5027,Ugly Love,Thriller,10
T00216,2025-02-15,U3353,It Ends With Us,Science Fiction,30
T00217,2025-03-31,U9633,Harry Potter and the Sorcerer's Stone,Mystery,30
T00218,2025-04-13,U9986,The Song of Achilles,Historical Fiction,14
T00219,2024-08-21,U9450,The Vanishing Half,Mystery,13
T00220,2024-10-17,U8580,Angels & Demons,Romance,27
